iter	Passed	Remaining
367	663	1139
368	664	1136
369	666	1134
370	667	1131
371	668	1128
372	670	1126
373	671	1124
374	672	1121
375	674	1118
376	675	1116
377	676	1113
378	678	1110
379	679	1109
380	681	1107
381	682	1104
382	684	1103
383	686	1100
384	687	1098
385	688	1095
386	690	1093
387	691	1091
388	693	1088
389	694	1087
390	696	1085
391	698	1083
392	700	1081
393	701	1079
394	703	1076
395	704	1074
396	706	1072
397	707	1070
398	708	1067
399	710	1065
400	711	1062
401	713	1061
402	714	1059
403	716	1056
404	717	1054
405	719	1052
406	720	1050
407	722	1047
408	723	1045
409	725	1043
410	726	1040
411	728	1039
412	729	1037
413	731	1034
414	733	1033
415	735	1031
416	736	1030
417	738	1027
418	739	1025
419	741	1023
420	742	1021
421	744	1019
422	745	1017
423	747	1015
424	748	1012
425	749	1010
426	751	1008
427	752	1006
428	754	1004
429	756	1002
430	757	1000
431	759	998
432	760	995
433	761	993
434	763	991
435	764	989
436	766	986
437	767	984
438	769	983
439	770	980
440	772	978
441	773	976
442	775	974
443	776	972
444	779	972
445	781	970
446	782	968
447	784	966
448	785	964
449	787	962
450	788	959
451	790	957
452	791	955
453	792	953
454	794	951
455	795	949
456	797	947
457	798	945
458	800	943
459	801	941
460	803	939
461	804	937
462	806	934
463	807	932
464	809	931
465	810	928
466	812	927
467	814	925
468	815	923
469	816	921
470	818	919
471	819	916
472	821	914
473	822	912
474	823	910
475	825	908
476	827	906
477	828	904
478	830	902
479	831	900
480	833	898
481	834	896
482	835	894
483	837	892
484	838	890
485	840	888
486	841	886
487	843	884
488	844	882
489	846	880
490	847	878
491	848	876
492	850	874
493	851	872
494	853	870
495	855	869
496	856	867
497	858	865
498	859	863
499	860	860
500	862	858
501	864	857
502	866	856
503	868	854
504	869	852
505	871	850
506	872	848
507	874	846
508	875	844
509	877	842
510	879	841
511	880	839
512	881	837
513	883	835
514	885	834
515	887	832
516	888	830
517	890	828
518	891	826
519	893	824
520	894	822
521	895	820
522	897	818
523	899	816
524	900	814
525	902	813
526	903	811
527	905	809
528	906	807
529	907	805
530	909	803
531	910	801
532	912	799
533	914	797
534	915	795
535	917	793
536	918	792
537	920	790
538	921	788
539	923	786
540	924	784
541	925	782
542	927	780
543	929	778
544	930	776
545	932	775
546	933	773
547	935	771
548	936	769
549	938	767
550	939	765
551	941	763
552	942	762
553	944	760
554	946	758
555	947	756
556	949	754
557	950	753
558	952	751
559	953	749
560	955	747
561	957	745
562	958	744
563	959	742
564	961	740
565	962	738
566	964	736
567	965	734
568	967	732
569	968	730
570	969	728
571	971	727
572	973	725
573	974	723
574	976	721
575	977	719
576	979	717
577	980	715
578	982	714
579	983	712
580	985	710
581	987	708
582	988	706
583	989	705
584	991	703
585	992	701
586	994	699
587	995	697
588	997	695
589	998	694
590	1000	692
591	1002	690
592	1003	688
593	1004	686
594	1006	685
595	1007	683
596	1009	681
597	1010	679
598	1012	677
599	1013	675
600	1015	674
601	1017	672
602	1018	670
603	1019	668
604	1021	666
605	1022	664
606	1023	662
607	1025	661
608	1026	659
609	1028	657
610	1030	656
611	1032	654
612	1033	652
613	1035	650
614	1036	649
615	1038	647
616	1039	645
617	1042	644
618	1044	643
619	1046	641
620	1048	639
621	1049	637
622	1051	636
623	1052	634
624	1053	632
625	1055	630
626	1056	628
627	1058	626
628	1059	625
629	1061	623
630	1062	621
631	1063	619
632	1064	617
633	1066	615
634	1067	613
635	1068	611
636	1070	609
637	1071	608
638	1073	606
639	1074	604
640	1076	602
641	1077	600
642	1078	598
643	1080	597
644	1081	595
645	1082	593
646	1083	591
647	1085	589
648	1086	587
649	1088	586
650	1089	584
651	1091	582
652	1092	580
653	1093	578
654	1095	576
655	1096	575
656	1097	573
657	1099	571
658	1100	569
659	1102	567
660	1103	565
661	1104	564
662	1105	562
663	1107	560
664	1108	558
665	1109	556
666	1111	554
667	1112	552
668	1113	551
669	1115	549
670	1116	547
671	1117	545
672	1119	543
673	1120	541
674	1121	540
675	1122	538
676	1124	536
677	1125	534
678	1126	532
679	1128	530
680	1129	529
681	1131	527
682	1132	525
683	1133	523
684	1134	521
685	1135	519
686	1137	518
687	1138	516
688	1139	514
689	1140	512
690	1142	510
691	1143	509
692	1145	507
693	1146	505
694	1147	503
695	1148	501
696	1150	500
697	1151	498
698	1152	496
699	1154	494
700	1155	492
701	1156	491
702	1158	489
703	1159	487
704	1160	485
705	1162	484
706	1163	482
707	1164	480
708	1166	478
709	1167	476
710	1168	475
711	1170	473
712	1171	471
713	1173	469
714	1174	468
715	1175	466
716	1176	464
717	1178	462
718	1179	460
719	1180	459
720	1182	457
721	1183	455
722	1184	453
723	1186	452
724	1187	450
725	1189	448
726	1190	447
727	1191	445
728	1192	443
729	1194	441
730	1195	439
731	1196	438
732	1198	436
733	1199	434
734	1200	432
735	1202	431
736	1203	429
737	1204	427
738	1206	425
739	1207	424
740	1208	422
741	1209	420
742	1211	418
743	1212	417
744	1213	415
745	1215	413
746	1217	412
747	1219	410
748	1221	409
749	1223	407
750	1224	406
751	1226	404
752	1227	402
753	1229	401
754	1230	399
755	1232	397
756	1234	396
757	1235	394
758	1236	392
759	1237	390
760	1239	389
761	1240	387
762	1241	385
763	1242	383
764	1244	382
765	1245	380
766	1247	378
767	1248	377
768	1250	375
769	1251	373
770	1252	372
771	1254	370
772	1255	368
773	1257	367
774	1258	365
775	1260	363
776	1261	362
777	1263	360
778	1264	358
779	1266	357
780	1267	355
781	1268	353
782	1270	352
783	1271	350
784	1273	348
785	1274	347
786	1276	345
787	1277	343
788	1279	342
789	1280	340
790	1281	338
791	1282	336
792	1284	335
793	1285	333
794	1286	331
795	1288	330
796	1289	328
797	1291	326
798	1292	325
799	1293	323
800	1295	321
801	1296	320
802	1297	318
803	1299	316
804	1300	315
805	1302	313
806	1303	311
807	1304	310
808	1306	308
809	1307	306
810	1308	304
811	1309	303
812	1311	301
813	1312	299
814	1313	298
815	1315	296
816	1316	294
817	1317	293
818	1319	291
819	1320	289
820	1321	288
821	1323	286
822	1325	285
823	1326	283
824	1328	281
825	1330	280
826	1332	278
827	1335	277
828	1337	275
829	1339	274
830	1341	272
831	1343	271
832	1346	269
833	1348	268
834	1351	266
835	1353	265
836	1354	263
837	1357	262
838	1358	260
839	1360	259
840	1362	257
841	1364	255
842	1370	255
843	1372	253
844	1374	252
845	1375	250
846	1377	248
847	1379	247
848	1381	245
849	1382	243
850	1384	242
851	1400	243
852	1402	241
853	1403	240
854	1405	238
855	1406	236
856	1408	234
857	1409	233
858	1411	231
859	1412	229
860	1414	228
861	1415	226
862	1419	225
863	1422	223
864	1425	222
865	1427	220
866	1429	219
867	1430	217
868	1432	215
869	1433	214
870	1434	212
871	1436	210
872	1437	209
873	1439	207
874	1440	205
875	1442	204
876	1443	202
877	1445	200
878	1447	199
879	1448	197
880	1450	195
881	1452	194
882	1453	192
883	1453	192
884	1457	189
885	1468	189
886	1470	187
887	1477	186
888	1483	185
889	1486	183
890	1495	183
891	1516	183
892	1519	182
893	1521	180
894	1523	178
895	1525	177
896	1527	175
897	1532	174
898	1535	172
899	1537	170
900	1538	169
901	1559	169
902	1570	168
903	1573	167
904	1686	177
905	1704	177
906	1751	179
907	1764	178
908	1775	177
909	1778	176
910	1786	174
911	1789	172
912	1792	170
913	1807	170
914	1813	168
915	1817	166
916	1825	165
917	1831	163
918	1838	162
919	1863	162
920	1880	161
921	1892	160
922	1900	158
923	1905	156
924	1911	155
925	1913	153
926	1915	151
927	1917	148
928	1919	146
929	1922	144
930	1924	142
931	1927	140
932	1930	138
933	1932	136
934	1934	134
935	1936	132
936	1937	130
937	1940	128
938	1942	126
939	1943	124
940	1945	122
941	1947	120
942	1949	117
943	1952	115
944	1954	113
945	1956	111
946	1958	109
947	1959	107
948	1961	105
949	1962	103
950	1964	101
951	1966	99
952	1968	97
953	1970	95
954	1972	93
955	1975	91
956	1977	88
957	1979	86
958	1981	84
959	1984	82
960	1987	80
961	1988	78
962	1991	76
963	1993	74
964	1995	72
965	1997	70
966	1999	68
967	2002	66
968	2004	64
969	2005	62
970	2007	60
971	2010	57
972	2013	55
973	2015	53
974	2017	51
975	2019	49
976	2021	47
977	2023	45
978	2025	43
979	2027	41
980	2029	39
981	2031	37
982	2034	35
983	2037	33
984	2040	31
985	2042	29
986	2043	26
987	2046	24
988	2048	22
989	2051	20
990	2053	18
991	2056	16
992	2060	14
993	2064	12
994	2066	10
995	2068	8
996	2070	6
997	2075	4
998	2077	2
999	2079	0
